date,act360_years,true_zero_rate,recovered_zero_rate,error_bp
2026-09-19,0.002777777777777778,0.07798057162230178,0.07741270445085471,-5.678671714470646
2026-09-26,0.022222222222222223,0.07784546898459506,0.07741270445085709,-4.327645337379726
2026-10-03,0.041666666666666664,0.07771192218783371,0.0774127044508574,-2.9921773697630383
2026-10-10,0.06111111111111111,0.07757991434596145,0.07741270445085928,-1.6720989510217443
2026-10-17,0.08055555555555556,0.07744942876416296,0.07741270445085931,-0.3672431330364878
2026-10-24,0.1,0.0773204489365812,0.07731457064825699,-0.05878288324212555
2026-10-31,0.11944444444444445,0.07719295854406308,0.07713884267615546,-0.5411586790761425
2026-11-07,0.1388888888888889,0.07706694145193284,0.07701231853624231,-0.5462291569052757
2026-11-14,0.15833333333333333,0.07694238170779319,0.07691687050086914,-0.25511206924053176
2026-11-21,0.17777777777777778,0.07681926353935353,0.07682685458721472,0.07591047861188471
2026-11-28,0.19722222222222222,0.07669757135228503,0.07667104321665383,-0.265281356311986
2026-12-05,0.21666666666666667,0.07657728972810235,0.07654319798952683,-0.3409173857552017
2026-12-12,0.2361111111111111,0.07645840342207147,0.07643640962333832,-0.21993798733146996
2026-12-19,0.25555555555555554,0.07634089736114329,0.07634587166070059,0.049742995573004434
2026-12-26,0.275,0.076224756641913,0.07619650256822325,-0.2825407368975408
2027-01-02,0.29444444444444445,0.0761099665286044,0.07601668354457995,-0.9328298402444535
2027-01-09,0.3138888888888889,0.07599651245107933,0.07585914298404281,-1.3736946703651887
2027-01-16,0.3333333333333333,0.07588438000287152,0.07571998215556831,-1.6439784730321039
2027-01-23,0.3527777777777778,0.0757735549392448,0.0755961618908626,-1.7739304838219894
2027-01-30,0.37222222222222223,0.0756640231752752,0.07548527807172307,-1.7874510355211926
2027-02-06,0.39166666666666666,0.0755557707839568,0.07538540399349121,-1.70366790465587
2027-02-13,0.4111111111111111,0.07544878399433091,0.0752949774632002,-1.5380653113071519
2027-02-20,0.4305555555555556,0.0753430491896382,0.07521271849048394,-1.303306991542602
2027-02-27,0.45,0.0752385529054938,0.07513756831787871,-1.0098458761509388
2027-03-06,0.46944444444444444,0.07513528182808477,0.07506864360335928,-0.6663822472548209
2027-03-13,0.4888888888888889,0.07503322279238969,0.07500520153658564,-0.28021255804047684
2027-03-20,0.5083333333333333,0.07493236278042051,0.07494661296125926,0.14250180838754067
2027-03-27,0.5277777777777778,0.07483268891948557,0.07483338941306718,0.007004935816123936
2027-04-03,0.5472222222222223,0.07473418848047439,0.07470546929490104,-0.2871918557334485
2027-04-10,0.5666666666666667,0.07463684887616341,0.07458632800837377,-0.5052086778964404
2027-04-17,0.5861111111111111,0.07454065765954251,0.07447509183090519,-0.6556582863732896
2027-04-24,0.6055555555555555,0.07444560252216222,0.07437099926116397,-0.7460326099824333
2027-05-01,0.625,0.07435167129250124,0.07427338356242882,-0.7828773007241552
2027-05-08,0.6444444444444445,0.07425885193435393,0.07418165846620357,-0.7719346815035499
2027-05-15,0.6638888888888889,0.07416713254523767,0.07409530638816718,-0.7182615707049256
2027-05-22,0.6833333333333333,0.07407650135481983,0.07401386865603546,-0.6263269878437061
2027-05-29,0.7027777777777777,0.07398694672336395,0.07393693735967369,-0.500093636902621
2027-06-05,0.7222222222222222,0.07389845714019509,0.07386414851773146,-0.34308622463632976
2027-06-12,0.7416666666666667,0.0738110212221839,0.07379517631918708,-0.15844902996817178
2027-06-19,0.7611111111111111,0.07372462771224941,0.07372972824757537,0.05100535325958111
2027-06-26,0.7805555555555556,0.07363926547788008,0.07364288674646262,0.036212685825404156
2027-07-03,0.8,0.07355492350967302,0.0735422254918647,-0.1269801780831581
2027-07-10,0.8194444444444444,0.07347159091989118,0.07344634138155279,-0.2524953833839272
2027-07-17,0.8388888888888889,0.073389256941038,0.07335490222999706,-0.34354711040934793
2027-07-24,0.8583333333333333,0.07330791092444981,0.07326760595262184,-0.40304971827970215
2027-07-31,0.8777777777777778,0.07322754233890523,0.07318417723183918,-0.4336510706605401
2027-08-07,0.8972222222222223,0.07314814076925169,0.07310436461660137,-0.4377615265031831
2027-08-14,0.9166666666666666,0.07306969591504874,0.07302793799110077,-0.4175792394796318
2027-08-21,0.9361111111111111,0.07299219758922794,0.07295468635894445,-0.3751123028349068
2027-08-28,0.9555555555555556,0.07291563571676915,0.07288441589786439,-0.3121981890476244
2027-09-04,0.975,0.07284000033339302,0.07281694824719762,-0.2305208619540755
2027-09-11,0.9944444444444445,0.07276528158426941,0.07275211899627762,-0.13162587991791264
2027-09-18,1.0138888888888888,0.07269146972274154,0.0726897763467629,-0.016933759786480485
2027-09-25,1.0333333333333334,0.07261855510906588,0.07261021341114103,-0.08341697924851843
2027-10-02,1.0527777777777778,0.07254652820916731,0.07250798263840062,-0.38545570766684856
2027-10-09,1.0722222222222222,0.07247537959340938,0.07240945971752127,-0.6591987588810966
2027-10-16,1.0916666666666666,0.07240509993537982,0.07231444651901413,-0.9065341636568802
2027-10-23,1.1111111111111112,0.0723356800106906,0.07222275878245485,-1.1292122823575168
2027-10-30,1.1305555555555555,0.07226711069579272,0.07213422492381157,-1.328857719811588
2027-11-06,1.15,0.07219938296680557,0.07204868496376969,-1.5069800303588177
2027-11-13,1.1694444444444445,0.07213248789836027,0.07196598956296912,-1.6649833539114645
2027-11-20,1.1888888888888889,0.07206641666245735,0.07188599915191442,-1.8041751054292954
2027-11-27,1.2083333333333333,0.07200116052733815,0.07180858314489366,-1.9257738244449207
2027-12-04,1.2277777777777779,0.07193671085637016,0.071733619228593,-2.0309162777715217
2027-12-11,1.2472222222222222,0.07187305910694561,0.07166099271725494,-2.120663896906655
2027-12-18,1.2666666666666666,0.07181019682939381,0.07159059596722997,-2.1960086216384065
2027-12-25,1.2861111111111112,0.07174811566590639,0.07152232784463541,-2.2578782127097297
2028-01-01,1.3055555555555556,0.07168680734947581,0.07145609324058633,-2.307141088894876
2028-01-08,1.325,0.07162626370284672,0.07139180262910892,-2.344610737377989
2028-01-15,1.3444444444444446,0.07156647663747989,0.07132937166341795,-2.3710497406194406
2028-01-22,1.363888888888889,0.07150743815252897,0.07126872080672844,-2.387173458005265
2028-01-29,1.3833333333333333,0.07144914033382946,0.07120977499420283,-2.3936533962662376
2028-02-05,1.4027777777777777,0.07139157535290004,0.07115246332301464,-2.391120298853994
2028-02-12,1.4222222222222223,0.07133473546595599,0.07109671876783548,-2.380166981205134
2028-02-19,1.4416666666666667,0.07127861301293456,0.07104247791934709,-2.3613509358746954
2028-02-26,1.461111111111111,0.07122320041653205,0.07098968074363206,-2.335196728999872
2028-03-04,1.4805555555555556,0.07116849018125276,0.07093827036052507,-2.3021982072769784
2028-03-11,1.5,0.07111447489246926,0.07088819283920225,-2.2628205326701014
2028-03-18,1.5194444444444444,0.07106114721549414,0.07083939700946722,-2.2175020602692443
2028-03-25,1.538888888888889,0.07100849989466283,0.07079183428734284,-2.166656073199907
2028-04-01,1.5583333333333333,0.07095652575242777,0.07074545851372073,-2.110672387070356
2028-04-08,1.5777777777777777,0.07090521768846328,0.07070022580494131,-2.049918835219655
2028-04-15,1.5972222222222223,0.07085456867878134,0.07065609441428879,-1.984742644925569
2028-04-22,1.6166666666666667,0.07080457177485812,0.0706130246034801,-1.9154717137802313
2028-04-29,1.636111111111111,0.07075522010277085,0.07057097852331876,-1.8424157945209907
2028-05-06,1.6555555555555554,0.07070650686234534,0.07052992010275862,-1.7658675958671932
2028-05-13,1.675,0.07065842532631356,0.07048981494569398,-1.6861038061957712
2028-05-20,1.6944444444444444,0.0706109688394816,0.07045063023485716,-1.6033860462444371
2028-05-27,1.7138888888888888,0.07056413081790748,0.07041233464225641,-1.5179617565107273
2028-06-03,1.7333333333333334,0.07051790474808886,0.07037489824564357,-1.4300650244529478
2028-06-10,1.7527777777777778,0.07047228418616072,0.07033829245054032,-1.339917356203979
2028-06-17,1.7722222222222221,0.07042726275710243,0.07030248991739863,-1.247728397038017
2028-06-24,1.7916666666666667,0.07038283415395453,0.0702674644935034,-1.153696604511284
2028-07-01,1.8111111111111111,0.07033899213704502,0.0702331911492623,-1.0580098778271985
2028-07-08,1.8305555555555555,0.07029573053322456,0.07019964591855597,-0.9608461466859008
2028-07-15,1.85,0.07025304323511139,0.0701668058428495,-0.8623739226189253
2028-07-22,1.8694444444444445,0.07021092420034482,0.07013464891879218,-0.7627528155264296
2028-07-29,1.8888888888888888,0.07016936745084805,0.07010315404905369,-0.662134017943572
2028-08-05,1.9083333333333334,0.07012836707209959,0.07007230099616577,-0.5606607593382218
2028-08-12,1.9277777777777778,0.07008791721241359,0.07004207033915737,-0.458468732562195
2028-08-19,1.9472222222222222,0.07004801208222866,0.07001244343278827,-0.35568649440390065
2028-08-26,1.9666666666666666,0.07000864595340535,0.06998340236920053,-0.2524358420481765
2028-09-02,1.9861111111111112,0.06996981315853183,0.06995492994182284,-0.14883216708991287
2028-09-09,2.0055555555555555,0.06993150809023814,0.06992700961137488,-0.04498478863260158
2028-09-16,2.025,0.06989372520051852,0.06989962547383,0.059002733114738026
2028-09-23,2.0444444444444443,0.06985645900006175,0.06986751543805647,0.11056437994719226
2028-09-30,2.063888888888889,0.06981970405758968,0.06982908062229859,0.09376564708910018
2028-10-07,2.0833333333333335,0.06978345499920355,0.06979136325643497,0.07908257231417637
2028-10-14,2.102777777777778,0.06974770650773815,0.06975434343762815,0.06636929890002641
2028-10-21,2.1222222222222222,0.06971245332212367,0.06971800199246449,0.05548670340818629
2028-10-28,2.1416666666666666,0.06967769023675516,0.06968232044384075,0.046302070855902544
2028-11-04,2.161111111111111,0.06964341210086962,0.06964728097963953,0.03868878769908157
2028-11-11,2.1805555555555554,0.06960961381793031,0.06961286642308007,0.032526051497588915
2028-11-18,2.2,0.06957629034501855,0.06957906020464168,0.027698596231223727
2028-11-25,2.2194444444444446,0.06954343669223281,0.06954584633546247,0.024096432296588643
2028-12-02,2.238888888888889,0.06951104792209473,0.06951320938212512,0.02161460030389306
2028-12-09,2.2583333333333333,0.06947911914896243,0.06948113444274441,0.02015293781978955
2028-12-16,2.2777777777777777,0.0694476455384507,0.06944960712427987,0.019615858291716082
2028-12-23,2.297222222222222,0.06941662230685812,0.06941861352100104,0.019912141429184738
2028-12-30,2.316666666666667,0.06938604472060088,0.0693881401940362,0.02095473435326234
2029-01-06,2.3361111111111112,0.06935590809565349,0.06935817415194355,0.02266056290056717
2029-01-13,2.3555555555555556,0.06932620779699603,0.06932870283224393,0.024950352479069515
