date,act360_years,true_discount_factor,recovered_discount_factor,df_error
2026-09-18,0.0,1.0,1.0,0.0
2026-09-25,0.019444444444444445,0.9984871102511284,0.9984958852851135,8.775033985108927e-06
2026-10-02,0.03888888888888889,0.9969816957123913,0.9969940329313025,1.233721891125139e-05
2026-10-09,0.058333333333333334,0.9954836399562846,0.9954944395357165,1.0799579431841622e-05
2026-10-16,0.07777777777777778,0.9939928285408851,0.9939971017006232,4.273159738055199e-06
2026-10-23,0.09722222222222222,0.9925091489746158,0.9925085092544357,-6.397201801622288e-07
2026-10-30,0.11666666666666667,0.9910324906817061,0.9910383550257482,5.8643440421501936e-06
2026-11-06,0.1361111111111111,0.989562744968327,0.9895703784644921,7.633496165171394e-06
2026-11-13,0.15555555555555556,0.9880998049893909,0.9881045763449956,4.771355604726857e-06
2026-11-20,0.175,0.9866435657159973,0.9866409454463645,-2.620269632824801e-06
2026-11-27,0.19444444444444445,0.9851939239035119,0.985198420940777,4.497037265127624e-06
2026-12-04,0.21388888888888888,0.9837507780602653,0.9837580054870779,7.227426812583815e-06
2026-12-11,0.23333333333333334,0.982314028416857,0.982319696001715,5.667584857982355e-06
2026-12-18,0.25277777777777777,0.9808835768960504,0.980883489405644,-8.749040647515471e-08
2026-12-25,0.2722222222222222,0.9794593270832491,0.9794638537149515,4.526631702361783e-06
2027-01-01,0.2916666666666667,0.9780411841975374,0.9780655398615663,2.4355664028918866e-05
2027-01-08,0.3111111111111111,0.9766290550632762,0.97666922228566,4.016722238375792e-05
2027-01-15,0.33055555555555555,0.975222848082241,0.9752748981372832,5.20500550421632e-05
2027-01-22,0.35,0.9738224732062891,0.9738825645705551,6.00913642659906e-05
2027-01-29,0.36944444444444446,0.9724278419105472,0.9724922187436579,6.437683311066866e-05
2027-02-05,0.3888888888888889,0.9710388671671055,0.9711038578188307,6.499065172516083e-05
2027-02-12,0.4083333333333333,0.9696554634192092,0.9697174789623639,6.201554315476976e-05
2027-02-19,0.42777777777777776,0.9682775465559357,0.9683330793445936,5.553278865788602e-05
2027-02-26,0.44722222222222224,0.9669050338873483,0.9669506561398954,4.562225254711727e-05
2027-03-05,0.4666666666666667,0.9655378441201149,0.965570206526679,3.23624065641237e-05
2027-03-12,0.4861111111111111,0.9641758973335827,0.964191727687382,1.5830353799373142e-05
2027-03-19,0.5055555555555555,0.9628191149562991,0.962815216808465,-3.89814783408049e-06
2027-03-26,0.525,0.9614674197429695,0.9614646024588931,-2.8172840763618368e-06
2027-04-02,0.5444444444444444,0.9601207357518422,0.9601338064655507,1.3070713708485115e-05
2027-04-09,0.5638888888888889,0.9587789883225128,0.9588048524723934,2.586414988059449e-05
2027-04-16,0.5833333333333334,0.9574421040541372,0.9574777379298461,3.5633875708929175e-05
2027-04-23,0.6027777777777777,0.9561100107840469,0.9561524602918624,4.244950781551182e-05
2027-04-30,0.6222222222222222,0.9547826375667573,0.9548290170159199,4.637944916263681e-05
2027-05-07,0.6416666666666667,0.95345991465336,0.9535074055630154,4.7490909655389935e-05
2027-05-14,0.6611111111111111,0.952141773471293,0.95218762339766,4.584992636702534e-05
2027-05-21,0.6805555555555556,0.9508281466044796,0.9508696679878746,4.152138339508227e-05
2027-05-28,0.7,0.9495189677738285,0.9495535368051843,3.4569031355791147e-05
2027-06-04,0.7194444444444444,0.9482141718180888,0.9482392273246139,2.5055506525095694e-05
