reference_date,interpolation_method,tenor,pillar_date,market_quote,model_quote,quote_error_bp,solved_discount_factor,true_discount_factor,df_difference,relative_error_ppm
2026-09-18,LOG_LINEAR_DF,1M,2026-10-21,0.07762604563,0.07762604562999811,-1.887379141862766e-11,0.9929289537514633,0.9929323361655402,-3.382414076935625e-06,-3.4064900031882672
2026-09-18,LOG_LINEAR_DF,2M,2026-11-20,0.077088792099,0.07708879209899519,-4.8155923693116165e-11,0.9866409454463645,0.9866435657159973,-2.620269632824801e-06,-2.655740861112754
2026-09-18,LOG_LINEAR_DF,3M,2026-12-22,0.076576653084,0.07657665308441709,4.170969125638635e-09,0.9800637428931597,0.9800689665836751,-5.2236905154767754e-06,-5.329921356156397
2026-09-18,LOG_LINEAR_DF,6M,2027-03-22,0.075189263035,0.07518926303499891,-1.0824674490095276e-11,0.9622258853151149,0.962239198547396,-1.3313232281153553e-05,-13.835678593476786
2026-09-18,LOG_LINEAR_DF,9M,2027-06-22,0.073979952583,0.07397995258299983,-1.6653345369377348e-12,0.9448679216998728,0.9448786623796078,-1.0740679735055103e-05,-11.36725821282436
2026-09-18,LOG_LINEAR_DF,1Y,2027-09-22,0.072930700295,0.07293070029499836,-1.637578961322106e-11,0.9282338408188742,0.92823909180337,-5.250984495885902e-06,-5.656931002184784
2026-09-18,LOG_LINEAR_DF,2Y,2028-09-20,0.07020829676,0.07020829675999896,-1.0408340855860843e-11,0.8673679298501583,0.8673888488991038,-2.0919048945522434e-05,-24.117267557799416
2026-09-18,LOG_LINEAR_DF,3Y,2029-09-20,0.068890121722,0.06889012172200125,1.2490009027033011e-11,0.8114003664459959,0.8114141991076613,-1.3832661665436063e-05,-17.04759625931196
2026-09-18,LOG_LINEAR_DF,4Y,2030-09-20,0.068362579699,0.06836257969900054,5.412337245047638e-12,0.7585901211869622,0.7585962436437659,-6.122456803647758e-06,-8.070771316037728
2026-09-18,LOG_LINEAR_DF,5Y,2031-09-22,0.068270726084,0.06827072608401809,1.8082757513582237e-10,0.7080275161533078,0.7080241394197144,3.3767335934076215e-06,4.769235122603632
2026-09-18,LOG_LINEAR_DF,7Y,2033-09-21,0.068661509651,0.06866150965099954,-4.579669976578771e-12,0.6146708763429278,0.6146313468659894,3.95294769384158e-05,64.31412445850881
2026-09-18,LOG_LINEAR_DF,10Y,2036-09-22,0.069534094022,0.06953409402200025,2.4980018054066022e-12,0.49319265528158474,0.4930993817790273,9.327350255744493e-05,189.15761407156674
2026-09-18,LOG_LINEAR_DF,15Y,2041-09-20,0.070516134352,0.07051613435200049,4.85722573273506e-12,0.33943221604208573,0.33934302198588867,8.919405619706167e-05,262.8433485241111
2026-09-18,LOG_LINEAR_DF,20Y,2046-09-20,0.070945972382,0.07094597238199965,-3.469446951953614e-12,0.23374931382023087,0.2337112549266715,3.8058893559372864e-05,162.84578836955887
2026-09-18,LOG_LINEAR_DF,30Y,2056-09-20,0.071206559631,0.07120655963099999,-1.3877787807814457e-13,0.11180276962276346,0.11184695394228229,-4.418431951883073e-05,-395.042671807011
