scenario,reference_date,method,calibration_success,max_repricing_error_bp,repricing_rmse_bp,dense_df_rmse,dense_df_mae,dense_df_max_abs_error,zero_rmse_bp,zero_mae_bp,zero_max_abs_error_bp,forward_28d_rmse_bp,forward_28d_mae_bp,forward_28d_max_abs_error_bp,dense_grid_step_days,forward_period_days
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,True,5.4539706084710815e-11,2.4343369861522434e-11,0.00016311943905302783,0.0001278509439870042,0.00041850487788708257,0.5135510024409465,0.34950508507471695,4.519692587305474,3.811009931078169,2.840332780048535,15.237357005891127,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LINEAR_CONTINUOUS_ZERO,True,1.609823385706477e-11,7.48491938025577e-12,0.00020527847355579092,0.0001536879015967388,0.0005658447350962992,0.5506156603716557,0.3925871764516554,4.519692587296731,5.23459080351771,4.247149000789771,15.057851170638125,7,28
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,True,4.3853809472693683e-11,2.4436599984249548e-11,9.01769794977949e-06,7.324374139592208e-06,1.760229717873152e-05,0.13949647711663368,0.025712561403382843,4.3578828369653095,0.24931760566157052,0.19555911547792124,2.1661160754511686,7,28
