start_date,end_date,start_act360_years,forward_period_days,true_forward_rate,log_linear_forward_rate,linear_continuous_zero_forward_rate,cubic_continuous_zero_forward_rate,log_linear_error_bp,linear_continuous_zero_error_bp,cubic_continuous_zero_error_bp
2026-09-18,2026-10-16,0.0,28,0.07770182983167848,0.07764622337423699,0.07764622337423699,0.07766873844489913,-0.5560645744148718,-0.5560645744148718,-0.33091386779343646
2026-09-25,2026-10-23,0.019444444444444445,28,0.07743959056296403,0.07756160098182649,0.07759765214800453,0.0775881355124478,1.2201041886246433,1.5806158504050316,1.4854494948376984
2026-10-02,2026-10-30,0.03888888888888889,28,0.07718190844917443,0.07726542696811801,0.0773839409193479,0.07739852005671954,0.8351851894358719,2.0203247017347437,2.1661160754511686
2026-10-09,2026-11-06,0.058333333333333334,28,0.07692871734449801,0.07696925973609048,0.07710223605836397,0.07710738828893472,0.40542391592471305,1.7351871386596385,1.7867094443671516
2026-10-16,2026-11-13,0.07777777777777778,28,0.07667995204480693,0.07667309928558971,0.07675254200778175,0.07674911550597661,-0.06852759217218507,0.7258996297482279,0.6916346116968286
2026-10-23,2026-11-20,0.09722222222222222,28,0.0764355482740082,0.07646156025853168,0.07638343076682969,0.0763832890974192,0.26011984523482967,-0.5211750717851182,-0.5225917658899237
2026-10-30,2026-11-27,0.11666666666666667,28,0.07619544267059718,0.07621293864310223,0.07615236194132466,0.07607385927909391,0.17495972505054969,-0.4308072927251827,-1.215833915032688
2026-11-06,2026-12-04,0.1361111111111111,28,0.075959572774394,0.07596432180690409,0.07592947734102001,0.07583658290604145,0.04749032510090179,-0.3009543337398335,-1.2298986835254655
2026-11-13,2026-12-11,0.15555555555555556,28,0.07572787701349107,0.07571570974984874,0.07571477654292272,0.07566008622032351,-0.12167263642323678,-0.13100470568350175,-0.6779079316755754
2026-11-20,2026-12-18,0.175,28,0.07550029469139773,0.07546710247184198,0.07550825913958725,0.07551380356272214,-0.33192219555749913,0.07964448189526352,0.1350887132441081
2026-11-27,2026-12-25,0.19444444444444445,28,0.07527676597434457,0.07527602960081957,0.07528525695894858,0.07535617356815358,-0.007363735250037751,0.08490984604009322,0.7940759380900553
2026-12-04,2027-01-01,0.21388888888888888,28,0.0750572318788307,0.07483020388005032,0.07508776360053299,0.0751719146125602,-2.270279987803825,0.3053172170228158,1.1468273372949866
2026-12-11,2027-01-08,0.23333333333333334,28,0.07484163425928772,0.07438439352845558,0.07489568332854223,0.07496310870979477,-4.5724073083214245,0.5404906925450537,1.2147445050704475
2026-12-18,2027-01-15,0.25277777777777777,28,0.07462991579597812,0.07393859854550433,0.07470901590186056,0.0747365986626731,-6.913172504737913,0.7910010588244032,1.066828666949765
2026-12-25,2027-01-22,0.2722222222222222,28,0.07442201998306189,0.07368386545524583,0.07451153134332295,0.07450335205037716,-7.381545278160595,0.8951136026105755,0.8133206731526788
2027-01-01,2027-01-29,0.2916666666666667,28,0.07421789111681168,0.07368386545524583,0.07429395616834343,0.07427157512916432,-5.340256615658512,0.7606505153175125,0.5368401235264497
2027-01-08,2027-02-05,0.3111111111111111,28,0.0740174742840335,0.07368386545524583,0.07407638465406421,0.07404283278963744,-3.3360882878767653,0.5891037003070976,0.2535850560393682
2027-01-15,2027-02-12,0.33055555555555555,28,0.07382071535064443,0.07368386545524583,0.07385881680042822,0.07381825284453113,-1.3684989539859693,0.3810144978379226,-0.024625061132987902
2027-01-22,2027-02-19,0.35,28,0.07362756095042158,0.07368386545524583,0.0736412526073755,0.07359896303159998,0.5630450482424498,0.13691656953918052,-0.2859791882160734
2027-01-29,2027-02-26,0.36944444444444446,28,0.0734379584739196,0.07368386545524867,0.07342369207483751,0.07338609101776099,2.4590698132907765,-0.14266399082085712,-0.5186745615860799
2027-02-05,2027-03-05,0.3888888888888889,28,0.07325185605753935,0.07368386545524583,0.07320613520276004,0.07318076440418946,4.32009397706476,-0.45720854779315867,-0.7109165334989731
2027-02-12,2027-03-12,0.4083333333333333,28,0.07306920257277653,0.07368386545524583,0.07298858199107741,0.07298411073240267,6.14662882469294,-0.806205816991229,-0.8509184037386319
2027-02-19,2027-03-19,0.42777777777777776,28,0.07288994761560735,0.07368386545524583,0.07277103243972682,0.0727972574913457,7.939178396384749,-1.1891517588052958,-0.9269012426164902
2027-02-26,2027-03-26,0.44722222222222224,28,0.07271404149605967,0.07336201012354802,0.07261435607853052,0.07262125224000668,6.479686274883517,-0.9968541752915228,-0.9278925605299415
2027-03-05,2027-04-02,0.4666666666666667,28,0.07254143522790127,0.0727987825697978,0.07250953303529936,0.0724557391661402,2.5734734189652997,-0.31902192601906965,-0.856960617610647
2027-03-12,2027-04-09,0.4861111111111111,28,0.07237208051850225,0.07223557954914028,0.07241260122953738,0.07229895603548776,-1.3650096936196343,0.4052071103513577,-0.7312448301448338
2027-03-19,2027-04-16,0.5055555555555555,28,0.07220592975886302,0.07167240106050775,0.07232356048377797,0.07214872771587214,-5.335286983552678,1.1763072491495496,-0.5720204299088094
2027-03-26,2027-04-23,0.525,28,0.0720429360137336,0.07143104636063333,0.07218154285613723,0.07200257852323842,-6.118896531002727,1.3860684240363241,-0.40357490495177006
2027-04-02,2027-04-30,0.5444444444444444,28,0.0718830530119414,0.07143104636063333,0.07199556738696687,0.07185905562340793,-4.520066513080678,1.12514375025477,-0.23997388533467112
2027-04-09,2027-05-07,0.5638888888888889,28,0.07172623513682735,0.07143104636063333,0.07180959459287095,0.07171773211334204,-2.951887761940275,0.8335945604359685,-0.0850302348531784
2027-04-16,2027-05-14,0.5833333333333334,28,0.07157243741681649,0.07143104636063333,0.07162362447380952,0.07157821356078818,-1.4139105618315995,0.511870569930295,0.057761439716946805
2027-04-23,2027-05-21,0.6027777777777777,28,0.07142161551615368,0.07143104636063333,0.07143765702973973,0.07144010555138802,0.09430844479643707,0.1604151358604311,0.1849003523433923
2027-04-30,2027-05-28,0.6222222222222222,28,0.07127372572575405,0.07143104636063333,0.07125169226062734,0.0713030136881979,1.573206348792766,-0.22033465126705676,0.2928796244384968
2027-05-07,2027-06-04,0.6416666666666667,28,0.07112872495419285,0.07143104636063333,0.07106573016643525,0.07116654359131479,3.023214064404728,-0.6299478775760592,0.3781863712193356
2027-05-14,2027-06-11,0.6611111111111111,28,0.07098657071883269,0.07143104636063333,0.07087977074712061,0.07103030089762795,4.444756418006401,-1.0679997171207656,0.43730178795262087
2027-05-21,2027-06-18,0.6805555555555556,28,0.07084722113707333,0.07143104636063333,0.07069381400264918,0.07089389126067903,5.8382522356,-1.5340713442414666,0.4667012360570766
2027-05-28,2027-06-25,0.7,28,0.07071063491774426,0.07124444995849505,0.07056660955788306,0.0707569346663593,5.338150407507847,-1.4402535986120235,0.4629974861503072
2027-06-04,2027-07-02,0.7194444444444444,28,0.07057677135260018,0.07080906882668808,0.07052263463813173,0.07061953731465755,2.3229747408790025,-0.5413671446845292,0.4276596205736449
2027-06-11,2027-07-09,0.7388888888888889,28,0.07044559030795325,0.07037370235693555,0.07048551396163052,0.07048245258893232,-0.7188795101770173,0.3992365367727624,0.3686228097907196
2027-06-18,2027-07-16,0.7583333333333333,28,0.07031705221645122,0.0699383505487464,0.0704552474693381,0.07034657603858971,-3.7870166770481717,1.3819525288687184,0.2952382213848581
2027-06-25,2027-07-23,0.7777777777777778,28,0.07019111806892392,0.06968958466947323,0.07037308610068665,0.07021289797328395,-5.015333994506932,1.819680317627359,0.21779904360030855
2027-07-02,2027-07-30,0.7972222222222223,28,0.07006774940640106,0.06968958466947608,0.07021455242258723,0.07008203159646025,-3.7816473692497965,1.4680301618616443,0.14282190059181077
2027-07-09,2027-08-06,0.8166666666666667,28,0.06994690831221284,0.06968958466947323,0.07005602068863263,0.06995405203748987,-2.5732364273961528,1.0911237641979266,0.07143725277033997
2027-07-16,2027-08-13,0.8361111111111111,28,0.06982855740422757,0.06968958466947608,0.06989749089879435,0.0698290013418999,-1.3897273475148297,0.6893349456678355,0.004439376723314181
2027-07-23,2027-08-20,0.8555555555555555,28,0.06971265982718926,0.06968958466947608,0.06973896305305237,0.06970692155556854,-0.23075157713173255,0.2630322586311129,-0.057382716207171613
2027-07-30,2027-08-27,0.875,28,0.06959917924516651,0.06968958466947608,0.06958043715137815,0.06958785472479649,0.9040542430957532,-0.1874209378835423,-0.11324520370017965
