node_date,act360_years,log_linear_discount_factor,linear_continuous_zero_discount_factor,cubic_continuous_zero_discount_factor,log_linear_zero_rate,linear_continuous_zero_rate,cubic_continuous_zero_rate
2026-10-21,0.09166666666666666,0.9929289537514631,0.9929289537514631,0.9929307409019738,0.07741270445086106,0.07741270445086106,0.07739306944095392
2026-11-20,0.175,0.9866409454463636,0.9866441556554064,0.9866445819510343,0.0768519398645662,0.0768333474658672,0.07683087851647302
2026-12-22,0.2638888888888889,0.980063742893278,0.980069287120573,0.980067394981167,0.07631115409562249,0.07628971707771424,0.07629703311087778
2027-03-22,0.5138888888888888,0.9622258853151074,0.9622415211460525,0.9622402342012317,0.07493068772689981,0.07489906704916048,0.07490166964598922
2027-06-22,0.7694444444444445,0.9448679216998717,0.9448816880119068,0.9448782450574843,0.0737026916795724,0.07368375664631059,0.07368849227196023
2027-09-22,1.025,0.9282338408188713,0.9282410577311085,0.9282392989953941,0.07265521394873832,0.07264762872365059,0.07264947721045537
2028-09-20,2.036111111111111,0.8673679298501553,0.8674114510158143,0.8673884405760882,0.06988421222315347,0.06985956972179574,0.06987259851087818
2029-09-20,3.05,0.8114003664459983,0.811446138495866,0.8114140131429096,0.06852251691410037,0.06850402196781545,0.06851700263358557
2030-09-20,4.063888888888889,0.7585901211869631,0.7586335077699553,0.7585959206095648,0.06798750649763956,0.06797343326002696,0.06798562530145791
2031-09-22,5.083333333333333,0.7080275161533819,0.7080667636686176,0.7080239965051094,0.06792242388594226,0.0679115194952088,0.0679234018020956
2033-09-21,7.111111111111111,0.6146708763429172,0.6146880111359992,0.6146302295101933,0.06843773177480904,0.06843381171484629,0.06844703130415407
2036-09-22,10.158333333333333,0.49319265528158013,0.49314080163163637,0.4930968823121931,0.06958379653195407,0.06959414707422043,0.06960291469072254
2041-09-20,15.225,0.3394322160420846,0.3392537865829326,0.3393376627812583,0.07096755403053118,0.07100208989816627,0.07098585300057592
2046-09-20,20.29722222222222,0.23374931382022324,0.2335794851836649,0.23370910960018468,0.07161108206987796,0.07164689021179191,0.0716195567251532
2056-09-20,30.444444444444443,0.11180276962276214,0.11167128203340078,0.11184981985247423,0.07196777558394965,0.07200642826763587,0.0719539555291234
