date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error
2026-09-18,0.0,1.0,1.0,1.0,0.0,0.0
2026-09-25,0.019444444444444445,0.9984871102511284,0.9984958852851135,0.9984958852851135,8.775033985108927e-06,8.775033985108927e-06
2026-10-02,0.03888888888888889,0.9969816957123913,0.9969940329313025,0.9969940329313025,1.233721891125139e-05,1.233721891125139e-05
2026-10-09,0.058333333333333334,0.9954836399562846,0.9954944395357165,0.9954944395357165,1.0799579431841622e-05,1.0799579431841622e-05
2026-10-16,0.07777777777777778,0.9939928285408851,0.9939971017006232,0.9939971017006232,4.273159738055199e-06,4.273159738055199e-06
2026-10-23,0.09722222222222222,0.9925091489746158,0.9925085092544357,0.9925057429763512,-6.397201801622288e-07,-3.40599826464949e-06
2026-10-30,0.11666666666666667,0.9910324906817061,0.9910383550257482,0.9910292745334263,5.8643440421501936e-06,-3.216148279805431e-06
2026-11-06,0.1361111111111111,0.989562744968327,0.9895703784644921,0.9895602047412779,7.633496165171394e-06,-2.5402270490415546e-06
2026-11-13,0.15555555555555556,0.9880998049893909,0.9881045763449956,0.9880985071976167,4.771355604726857e-06,-1.297791774157453e-06
2026-11-20,0.175,0.9866435657159973,0.9866409454463645,0.9866441556554065,-2.620269632824801e-06,5.8993940921237e-07
2026-11-27,0.19444444444444445,0.9851939239035119,0.985198420940777,0.9851940083672526,4.497037265127624e-06,8.446374066828355e-08
2026-12-04,0.21388888888888888,0.9837507780602653,0.9837580054870779,0.9837505419480158,7.227426812583815e-06,-2.3611224952979626e-07
2026-12-11,0.23333333333333334,0.982314028416857,0.982319696001715,0.9823137332679007,5.667584857982355e-06,-2.951489562752485e-07
2026-12-18,0.25277777777777777,0.9808835768960504,0.980883489405644,0.9808835593232488,-8.749040647515471e-08,-1.7572801658261028e-08
2026-12-25,0.2722222222222222,0.9794593270832491,0.9794638537149515,0.9794587679760649,4.526631702361783e-06,-5.591071842170336e-07
2027-01-01,0.2916666666666667,0.9780411841975374,0.9780655398615663,0.978038640397275,2.4355664028918866e-05,-2.5438002624333933e-06
2027-01-08,0.3111111111111111,0.9766290550632762,0.97666922228566,0.9766246798315877,4.016722238375792e-05,-4.375231688502623e-06
2027-01-15,0.33055555555555555,0.975222848082241,0.9752748981372832,0.9752168654768141,5.20500550421632e-05,-5.982605426946286e-06
2027-01-22,0.35,0.9738224732062891,0.9738825645705551,0.973815176638297,6.00913642659906e-05,-7.296567992143288e-06
2027-01-29,0.36944444444444446,0.9724278419105472,0.9724922187436579,0.9724195927284096,6.437683311066866e-05,-8.24918213759851e-06
2027-02-05,0.3888888888888889,0.9710388671671055,0.9711038578188307,0.9710300932660546,6.499065172516083e-05,-8.77390105091802e-06
2027-02-12,0.4083333333333333,0.9696554634192092,0.9697174789623639,0.9696466578761674,6.201554315476976e-05,-8.805543041723318e-06
2027-02-19,0.42777777777777776,0.9682775465559357,0.9683330793445936,0.968269266289222,5.553278865788602e-05,-8.280266713622808e-06
2027-02-26,0.44722222222222224,0.9669050338873483,0.9669506561398954,0.9668978983407402,4.562225254711727e-05,-7.135546608028065e-06
2027-03-05,0.4666666666666667,0.9655378441201149,0.965570206526679,0.9655325339708025,3.23624065641237e-05,-5.310149312376389e-06
2027-03-12,0.4861111111111111,0.9641758973335827,0.964191727687382,0.9641731532235637,1.5830353799373142e-05,-2.7441100189928846e-06
2027-03-19,0.5055555555555555,0.9628191149562991,0.962815216808465,0.9628197362467696,-3.89814783408049e-06,6.212904705149569e-07
2027-03-26,0.525,0.9614674197429695,0.9614646024588931,0.9614677369599924,-2.8172840763618368e-06,3.172170229825966e-07
2027-04-02,0.5444444444444444,0.9601207357518422,0.9601338064655507,0.9601178243517241,1.3070713708485115e-05,-2.9114001180996496e-06
2027-04-09,0.5638888888888889,0.9587789883225128,0.9588048524723934,0.9587732548059383,2.586414988059449e-05,-5.733516574513153e-06
2027-04-16,0.5833333333333334,0.9574421040541372,0.9574777379298461,0.9574340111766326,3.5633875708929175e-05,-8.092877504584095e-06
2027-04-23,0.6027777777777777,0.9561100107840469,0.9561524602918624,0.9561000763992018,4.244950781551182e-05,-9.934384845089461e-06
2027-04-30,0.6222222222222222,0.9547826375667573,0.9548290170159199,0.9547714334900789,4.637944916263681e-05,-1.1204076678428265e-05
2027-05-07,0.6416666666666667,0.95345991465336,0.9535074055630154,0.9534480655463782,4.7490909655389935e-05,-1.1849106981820512e-05
2027-05-14,0.6611111111111111,0.952141773471293,0.95218762339766,0.9521299557455399,4.584992636702534e-05,-1.181772575309381e-05
2027-05-21,0.6805555555555556,0.9508281466044796,0.9508696679878746,0.9508170873449775,4.152138339508227e-05,-1.1059259502066432e-05
2027-05-28,0.7,0.9495189677738285,0.9495535368051843,0.949509443681726,3.4569031355791147e-05,-9.524092102530801e-06
2027-06-04,0.7194444444444444,0.9482141718180888,0.9482392273246139,0.9482070081720927,2.5055506525095694e-05,-7.16364599606667e-06
2027-06-11,0.7388888888888889,0.9469136946750512,0.9469267370246834,0.9469097643113104,1.3042349632286232e-05,-3.93036374080058e-06
2027-06-18,0.7583333333333333,0.9456174733630901,0.9456160633874028,0.945617695673191,-1.4099756873164893e-06,2.223101008835826e-07
2027-06-25,0.7777777777777778,0.9443254459630374,0.9443208331563161,0.9443264944241373,-4.6128067212602986e-06,1.0484610999395017e-06
2027-07-02,0.7972222222222223,0.9430375516003832,0.9430455247879477,0.943034376157412,7.973187564513928e-06,-3.1754429711261523e-06
2027-07-09,0.8166666666666667,0.9417537304277964,0.9417719387276945,0.9417469131296128,1.820829989807038e-05,-6.817298183636744e-06
2027-07-16,0.8361111111111111,0.9404739236079583,0.940500072649574,0.9404640910963189,2.6149041615686208e-05,-9.832511639440433e-06
2027-07-23,0.8555555555555555,0.9391980732967027,0.9392299242307447,0.9391858958751913,3.185093404201034e-05,-1.2177421511383457e-05
