start_date,end_date,start_act360_years,true_forward_rate,log_linear_forward_rate,linear_continuous_zero_forward_rate,log_linear_error_bp,linear_continuous_zero_error_bp
2026-09-18,2026-10-16,0.0,0.07770182983167848,0.07764622337423413,0.07764622337423413,-0.55606457444346,-0.55606457444346
2026-09-25,2026-10-23,0.019444444444444445,0.07743959056296403,0.07756160098182363,0.07759765214800167,1.220104188596055,1.5806158503764434
2026-10-02,2026-10-30,0.03888888888888889,0.07718190844917443,0.07726542696811231,0.07738394091934506,0.8351851893788342,2.0203247017062944
2026-10-09,2026-11-06,0.058333333333333334,0.07692871734449801,0.07696925973608476,0.07710223605836397,0.40542391586753657,1.7351871386596385
2026-10-16,2026-11-13,0.07777777777777778,0.07667995204480693,0.076673099285584,0.07675254200778175,-0.06852759222936156,0.7258996297482279
2026-10-23,2026-11-20,0.09722222222222222,0.0764355482740082,0.07646156025852312,0.07638343076682969,0.2601198451492037,-0.5211750717851182
2026-10-30,2026-11-27,0.11666666666666667,0.07619544267059718,0.07621293864343912,0.07615236194167009,0.17495972841938268,-0.43080728927086254
2026-11-06,2026-12-04,0.1361111111111111,0.075959572774394,0.07596432180758926,0.0759294773417737,0.04749033195264318,-0.3009543262029457
2026-11-13,2026-12-11,0.15555555555555556,0.07572787701349107,0.07571570975087935,0.07571477654415602,-0.12167262611717522,-0.1310046933504505
2026-11-20,2026-12-18,0.175,0.07550029469139773,0.07546710247321801,0.07550825914136583,-0.3319221817971174,0.07964449968103637
2026-11-27,2026-12-25,0.19444444444444445,0.07527676597434457,0.07527602960199291,0.07528525696076713,-0.007363723516645715,0.08490986422554636
2026-12-04,2027-01-01,0.21388888888888888,0.0750572318788307,0.07483020388075261,0.07508776360204036,-2.2702799807809706,0.30531723209659134
2026-12-11,2027-01-08,0.23333333333333334,0.07484163425928772,0.07438439352868396,0.07489568332965847,-4.572407306037557,0.5404907037075135
2026-12-18,2027-01-15,0.25277777777777777,0.07462991579597812,0.07393859854525596,0.07470901590250861,-6.913172507221621,0.7910010653049138
2026-12-25,2027-01-22,0.2722222222222222,0.07442201998306189,0.07368386545473195,0.07451153134365983,-7.381545283299401,0.8951136059794085
2027-01-01,2027-01-29,0.2916666666666667,0.07421789111681168,0.07368386545472909,0.07429395616864604,-5.340256620825906,0.7606505183435641
2027-01-08,2027-02-05,0.3111111111111111,0.0740174742840335,0.07368386545472909,0.07407638465433543,-3.3360882930441593,0.5891037030192336
2027-01-15,2027-02-12,0.33055555555555555,0.07382071535064443,0.07368386545472909,0.07385881680066803,-1.3684989591533636,0.38101450023600436
2027-01-22,2027-02-19,0.35,0.07362756095042158,0.07368386545472909,0.0736412526075839,0.5630450430750555,0.13691657162320792
2027-01-29,2027-02-26,0.36944444444444446,0.0734379584739196,0.07368386545472909,0.07342369207501452,2.4590698080949327,-0.1426639890507453
2027-02-05,2027-03-05,0.3888888888888889,0.07325185605753935,0.07368386545472909,0.07320613520290564,4.320093971897365,-0.4572085463371012
2027-02-12,2027-03-12,0.4083333333333333,0.07306920257277653,0.07368386545473195,0.07298858199119161,6.1466288195541345,-0.8062058158492258
2027-02-19,2027-03-19,0.42777777777777776,0.07288994761560735,0.07368386545472909,0.07277103243980962,7.9391783912173555,-1.189151757977347
2027-02-26,2027-03-26,0.44722222222222224,0.07271404149605967,0.07336201012310838,0.0726143560785134,6.479686270487034,-0.9968541754627747
2027-03-05,2027-04-02,0.4666666666666667,0.07254143522790127,0.07279878256949518,0.07250953303511665,2.5734734159391093,-0.3190219278462192
2027-03-12,2027-04-09,0.4861111111111111,0.07237208051850225,0.07223557954897185,0.07241260122918337,-1.3650096953039814,0.4052071068112728
2027-03-19,2027-04-16,0.5055555555555555,0.07220592975886302,0.07167240106047634,0.0723235604832441,-5.335286983866733,1.1763072438109035
2027-03-26,2027-04-23,0.525,0.0720429360137336,0.07143104636065901,0.07218154285548062,-6.1188965307458485,1.3860684174701876
2027-04-02,2027-04-30,0.5444444444444444,0.0718830530119414,0.07143104636065901,0.07199556738624459,-4.5200665128238,1.1251437430319366
2027-04-09,2027-05-07,0.5638888888888889,0.07172623513682735,0.07143104636065901,0.07180959459208015,-2.9518877616833974,0.8335945525279886
2027-04-16,2027-05-14,0.5833333333333334,0.07157243741681649,0.07143104636065901,0.07162362447294734,-1.4139105615747216,0.5118705613085806
2027-04-23,2027-05-21,0.6027777777777777,0.07142161551615368,0.07143104636065901,0.0714376570288119,0.09430844505331493,0.1604151265821585
