date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,cubic_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error,cubic_continuous_zero_error
2026-09-18,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-09-25,0.019444444444444445,0.9984871102511284,0.9984958852851135,0.9984958852851135,0.9984955711283325,8.775033985108927e-06,8.775033985108927e-06,8.46087720418609e-06
2026-10-02,0.03888888888888889,0.9969816957123913,0.9969940329313024,0.9969940329313024,0.9969924094696597,1.2337218911140369e-05,1.2337218911140369e-05,1.0713757268465685e-05
2026-10-09,0.058333333333333334,0.9954836399562846,0.9954944395357164,0.9954944395357164,0.9954916920302854,1.07995794317306e-05,1.07995794317306e-05,8.052074000786114e-06
2026-10-16,0.07777777777777778,0.9939928285408851,0.9939971017006229,0.9939971017006229,0.9939953714925858,4.273159737833154e-06,4.273159737833154e-06,2.5429517006569924e-06
2026-10-23,0.09722222222222222,0.9925091489746158,0.9925085092544355,0.992505742976351,0.9925061609330007,-6.397201803842734e-07,-3.4059982648715348e-06,-2.988041615137327e-06
2026-10-30,0.11666666666666667,0.9910324906817061,0.9910383550257478,0.991029274533426,0.9910265437500788,5.864344041706104e-06,-3.2161482800274754e-06,-5.946931627254237e-06
2026-11-06,0.1361111111111111,0.989562744968327,0.9895703784644916,0.9895602047412777,0.9895570794335561,7.633496164616282e-06,-2.5402270492635992e-06,-5.6655347708822745e-06
2026-11-13,0.15555555555555556,0.9880998049893909,0.9881045763449949,0.9880985071976165,0.9880970490278228,4.771355604060723e-06,-1.2977917743794976e-06,-2.7559615680683436e-06
2026-11-20,0.175,0.9866435657159973,0.9866409454463636,0.9866441556554064,0.9866445819510343,-2.6202696337129794e-06,5.899394091013477e-07,1.0162350370102047e-06
2026-11-27,0.19444444444444445,0.9851939239035119,0.9851984209408023,0.9851940083672786,0.9851972736246225,4.4970372904407085e-06,8.446376664750233e-08,3.3497211106015e-06
2026-12-04,0.21388888888888888,0.9837507780602653,0.9837580054871294,0.9837505419480729,0.9837545010066286,7.227426864098163e-06,-2.361121924643328e-07,3.7229463633048354e-06
2026-12-11,0.23333333333333334,0.982314028416857,0.9823196960017925,0.9823137332679941,0.9823164376436636,5.667584935475922e-06,-2.9514886290549214e-07,2.409226806610043e-06
2026-12-18,0.25277777777777777,0.9808835768960504,0.9808834894057475,0.9808835593233836,0.9808835626104336,-8.749030289134652e-08,-1.757266687718584e-08,-1.4285616800613354e-08
2026-12-25,0.2722222222222222,0.9794593270832491,0.9794638537150655,0.9794587679762287,0.9794566432504135,4.526631816381688e-06,-5.591070204591375e-07,-2.683832835637112e-06
2027-01-01,0.2916666666666667,0.9780411841975374,0.9780655398616704,0.9780386403974457,0.9780362123124111,2.4355664133057786e-05,-2.543800091681092e-06,-4.971885126270337e-06
2027-01-08,0.3111111111111111,0.9766290550632762,0.9766692222857543,0.9766246798317649,0.9766222766077937,4.016722247801585e-05,-4.3752315113110285e-06,-6.778455482581158e-06
2027-01-15,0.33055555555555555,0.975222848082241,0.9752748981373676,0.975216865476997,0.9752147886782178,5.205005512654015e-05,-5.982605243981531e-06,-8.059404023263994e-06
