date,act360_years,true_zero_rate,log_linear_zero_rate,linear_continuous_zero_rate,log_linear_error_bp,linear_continuous_zero_error_bp
2026-09-19,0.002777777777777778,0.07798057162230178,0.07741270445085471,0.07741270445085861,-5.678671714470646,-5.678671714431649
2026-09-26,0.022222222222222223,0.07784546898459506,0.07741270445085709,0.07741270445085861,-4.327645337379726,-4.32764533736446
2026-10-03,0.041666666666666664,0.07771192218783371,0.0774127044508574,0.07741270445085861,-2.9921773697630383,-2.992177369750965
2026-10-10,0.06111111111111111,0.07757991434596145,0.07741270445085928,0.07741270445085861,-1.6720989510217443,-1.6720989510284057
2026-10-17,0.08055555555555556,0.07744942876416296,0.07741270445085931,0.07741270445085861,-0.3672431330364878,-0.3672431330434267
2026-10-24,0.1,0.0773204489365812,0.07731457064825699,0.07735476875235942,-0.05878288324212555,0.34319815778213747
2026-10-31,0.11944444444444445,0.07719295854406308,0.07713884267615546,0.07721958545586126,-0.5411586790761425,0.2662691179818044
2026-11-07,0.1388888888888889,0.07706694145193284,0.07701231853624231,0.07708440215936312,-0.5462291569052757,0.17460707430277944
2026-11-14,0.15833333333333333,0.07694238170779319,0.07691687050086914,0.07694921886286497,-0.25511206924053176,0.06837155071784395
2026-11-21,0.17777777777777778,0.07681926353935353,0.07682685458721472,0.07681635901625622,0.07591047861188471,-0.029045230973134828
2026-11-28,0.19722222222222222,0.07669757135228503,0.07667104321665383,0.07669743986898378,-0.265281356311986,-0.0013148330124668206
2026-12-05,0.21666666666666667,0.07657728972810235,0.07654319798952683,0.07657852072171134,-0.3409173857552017,0.01230993608991593
2026-12-12,0.2361111111111111,0.07645840342207147,0.07643640962333832,0.0764596015744389,-0.21993798733146996,0.011981523674320371
2026-12-19,0.25555555555555554,0.07634089736114329,0.07634587166070059,0.07634068242716646,0.049742995573004434,-0.0021493397682481596
2026-12-26,0.275,0.076224756641913,0.07619650256822325,0.07622791041039076,-0.2825407368975408,0.03153768477759389
2027-01-02,0.29444444444444445,0.0761099665286044,0.07601668354457995,0.0761197487414876,-0.9328298402444535,0.09782212883197028
2027-01-09,0.3138888888888889,0.07599651245107933,0.07585914298404281,0.07601158707258444,-1.3736946703651887,0.1507462150511507
2027-01-16,0.3333333333333333,0.07588438000287152,0.07571998215556831,0.07590342540368128,-1.6439784730321039,0.19045400809755697
2027-01-23,0.3527777777777778,0.0757735549392448,0.0755961618908626,0.07579526373477813,-1.7739304838219894,0.2170879553332894
2027-01-30,0.37222222222222223,0.0756640231752752,0.07548527807172307,0.07568710206587498,-1.7874510355211926,0.23078890599784185
2027-02-06,0.39166666666666666,0.0755557707839568,0.07538540399349121,0.07557894039697181,-1.70366790465587,0.23169613015017188
2027-02-13,0.4111111111111111,0.07544878399433091,0.0752949774632002,0.07547077872806866,-1.5380653113071519,0.21994733737748517
2027-02-20,0.4305555555555556,0.0753430491896382,0.07521271849048394,0.0753626170591655,-1.303306991542602,0.195678695272955
2027-02-27,0.45,0.0752385529054938,0.07513756831787871,0.07525445539026235,-1.0098458761509388,0.15902484768542946
2027-03-06,0.46944444444444444,0.07513528182808477,0.07506864360335928,0.07514629372135918,-0.6663822472548209,0.11011893274417983
2027-03-13,0.4888888888888889,0.07503322279238969,0.07500520153658564,0.07503813205245603,-0.28021255804047684,0.04909260066340848
2027-03-20,0.5083333333333333,0.07493236278042051,0.07494661296125926,0.07492997038355287,0.14250180838754067,-0.023923968676398122
2027-03-27,0.5277777777777778,0.07483268891948557,0.07483338941306718,0.07483301757114054,0.007004935816123936,0.0032865165497386606
2027-04-03,0.5472222222222223,0.07473418848047439,0.07470546929490104,0.07474054830132454,-0.2871918557334485,0.06359820850149189
2027-04-10,0.5666666666666667,0.07463684887616341,0.07458632800837377,0.07464807903150854,-0.5052086778964404,0.11230155345126613
2027-04-17,0.5861111111111111,0.07454065765954251,0.07447509183090519,0.07455560976169254,-0.6556582863732896,0.14952102150023183
2027-04-24,0.6055555555555555,0.07444560252216222,0.07437099926116397,0.07446314049187652,-0.7460326099824333,0.17537969714306878
2027-05-01,0.625,0.07435167129250124,0.07427338356242882,0.07437067122206051,-0.7828773007241552,0.18999929559268547
2027-05-08,0.6444444444444445,0.07425885193435393,0.07418165846620357,0.07427820195224451,-0.7719346815035499,0.1935001789057922
2027-05-15,0.6638888888888889,0.07416713254523767,0.07409530638816718,0.0741857326824285,-0.7182615707049256,0.18600137190835642
2027-05-22,0.6833333333333333,0.07407650135481983,0.07401386865603546,0.07409326341261249,-0.6263269878437061,0.16762057792663043
2027-05-29,0.7027777777777777,0.07398694672336395,0.07393693735967369,0.07400079414279649,-0.500093636902621,0.1384741943254164
2027-06-05,0.7222222222222222,0.07389845714019509,0.07386414851773146,0.07390832487298049,-0.34308622463632976,0.09867732785398542
2027-06-12,0.7416666666666667,0.0738110212221839,0.07379517631918708,0.07381585560316448,-0.15844902996817178,0.04834380980575648
2027-06-19,0.7611111111111111,0.07372462771224941,0.07372972824757537,0.07372338633334848,0.05100535325958111,-0.01241378900937451
2027-06-26,0.7805555555555556,0.07363926547788008,0.07364288674646262,0.07363870760616976,0.036212685825404156,-0.005578717103132957
2027-07-03,0.8,0.07355492350967302,0.0735422254918647,0.07355987178596902,-0.1269801780831581,0.049482762960045834
2027-07-10,0.8194444444444444,0.07347159091989118,0.07344634138155279,0.07348103596576827,-0.2524953833839272,0.09445045877090608
2027-07-17,0.8388888888888889,0.073389256941038,0.07335490222999706,0.07340220014556753,-0.34354711040934793,0.1294320452953357
2027-07-24,0.8583333333333333,0.07330791092444981,0.07326760595262184,0.0733233643253668,-0.40304971827970215,0.15453400916992655
2027-07-31,0.8777777777777778,0.07322754233890523,0.07318417723183918,0.07324452850516605,-0.4336510706605401,0.16986166260821167
2027-08-07,0.8972222222222223,0.07314814076925169,0.07310436461660137,0.07316569268496531,-0.4377615265031831,0.1755191571362058
2027-08-14,0.9166666666666666,0.07306969591504874,0.07302793799110077,0.07308685686476457,-0.4175792394796318,0.17160949715835927
2027-08-21,0.9361111111111111,0.07299219758922794,0.07295468635894445,0.07300802104456383,-0.3751123028349068,0.15823455335892134
2027-08-28,0.9555555555555556,0.07291563571676915,0.07288441589786439,0.07292918522436309,-0.3121981890476244,0.1354950759394069
2027-09-04,0.975,0.07284000033339302,0.07281694824719762,0.07285034940416235,-0.2305208619540755,0.10349070769327673
2027-09-11,0.9944444444444445,0.07276528158426941,0.07275211899627762,0.07277151358396161,-0.13162587991791264,0.062319996921994525
2027-09-18,1.0138888888888888,0.07269146972274154,0.0726897763467629,0.07269267776376087,-0.016933759786480485,0.012080410193293645
2027-09-25,1.0333333333333334,0.07261855510906588,0.07261021341114103,0.07262465021538914,-0.08341697924851843,0.06095106323253385
2027-10-02,1.0527777777777778,0.07254652820916731,0.07250798263840062,0.07257103369612275,-0.38545570766684856,0.24505486955442302
2027-10-09,1.0722222222222222,0.07247537959340938,0.07240945971752127,0.07251741717685636,-0.6591987588810966,0.4203758344697994
2027-10-16,1.0916666666666666,0.07240509993537982,0.07231444651901413,0.07246380065758998,-0.9065341636568802,0.5870072221016154
2027-10-23,1.1111111111111112,0.0723356800106906,0.07222275878245485,0.07241018413832358,-1.1292122823575168,0.7450412763297665
