date,act360_years,true_zero_rate,log_linear_zero_rate,linear_continuous_zero_rate,cubic_continuous_zero_rate,log_linear_error_bp,linear_continuous_zero_error_bp,cubic_continuous_zero_error_bp
2026-09-19,0.002777777777777778,0.07798057162230178,0.07741270445085471,0.07741270445086106,0.07739842215958236,-5.678671714470646,-5.6786717144072245,-5.821494627194223
2026-09-26,0.022222222222222223,0.07784546898459506,0.07741270445086208,0.07741270445086106,0.07743341162179325,-4.327645337329766,-4.327645337340035,-4.120573628018098
2026-10-03,0.041666666666666664,0.07771192218783371,0.07741270445086008,0.07741270445086106,0.07745682976579267,-2.992177369736254,-2.99217736972654,-2.550924220410394
2026-10-10,0.06111111111111111,0.07757991434596145,0.07741270445086111,0.07741270445086106,0.07745855168814555,-1.6720989510034256,-1.6720989510039808,-1.2136265781589883
2026-10-17,0.08055555555555556,0.07744942876416296,0.0774127044508607,0.07741270445086106,0.07742845248541691,-0.36724313302261,-0.3672431330190018,-0.20976278746046018
2026-10-24,0.1,0.0773204489365812,0.07731457064825922,0.07735476875236168,0.07735673770779491,-0.05878288321978231,0.34319815780475826,0.3628877121371332
2026-10-31,0.11944444444444445,0.07719295854406308,0.07713884267615921,0.0772195854558631,0.07724453011405849,-0.5411586790386724,0.2662691180002619,0.5157156999541224
2026-11-07,0.1388888888888889,0.07706694145193284,0.07701231853624636,0.07708440215936455,0.07710610941280165,-0.5462291568647526,0.17460707431707356,0.39167960868807805
2026-11-14,0.15833333333333333,0.07694238170779319,0.0769168705008741,0.07694921886286597,0.07695653861009574,-0.2551120691908493,0.06837155072783596,0.14156902302553398
2026-11-21,0.17777777777777778,0.07681926353935353,0.07682685458719826,0.07681635901623741,0.07681087144018957,0.07591047844729415,-0.029045231161178853,-0.08392099163964661
2026-11-28,0.19722222222222222,0.07669757135228503,0.07667104321650409,0.07669743986882896,0.07667945155149893,-0.2652813578093993,-0.0013148345606728284,-0.18119800786101092
2026-12-05,0.21666666666666667,0.07657728972810235,0.0765431979892679,0.0765785207214205,0.07656026325303908,-0.34091738834451935,0.012309933181547938,-0.1702647506326982
2026-12-12,0.2361111111111111,0.07645840342207147,0.07643640962298834,0.07645960157401205,0.076449288140164,-0.21993799083130927,0.011981519405790397,-0.09115281907473571
2026-12-19,0.25555555555555554,0.07634089736114329,0.07634587166027265,0.07634068242660358,0.07634250780822761,0.049742991293649785,-0.0021493453970788945,0.016104470843270047
2026-12-26,0.275,0.076224756641913,0.0761965025678048,0.07622791040977853,0.07623603753696141,-0.28254074108197136,0.03153767865526902,0.11280895048412787
2027-01-02,0.29444444444444445,0.0761099665286044,0.07601668354422289,0.07611974874089102,0.0761282380858747,-0.9328298438150695,0.09782212286618686,0.1827155727029961
2027-01-09,0.3138888888888889,0.07599651245107933,0.07585914298374,0.07601158707200349,0.07601933344048788,-1.373694673393322,0.15074620924163118,0.22820989408547931
2027-01-16,0.3333333333333333,0.07588438000287152,0.07571998215531314,0.07590342540311598,0.0759096039844181,-1.6439784755838127,0.19045400244457888,0.25223981546571017
2027-01-23,0.3527777777777778,0.0757735549392448,0.07559616189064992,0.07579526373422846,0.07579933010128248,-1.7739304859487603,0.2170879498365752,0.257751620376806
2027-01-30,0.37222222222222223,0.0756640231752752,0.07548527807154821,0.07568710206534095,0.07568879217469818,-1.7874510372697938,0.23078890065753033,0.24768999422983273
2027-02-06,0.39166666666666666,0.0755557707839568,0.07538540399335049,0.07557894039645344,0.07557827058828233,-1.7036679060630777,0.2316961249664018,0.22499804325532002
2027-02-13,0.4111111111111111,0.07544878399433091,0.07529497746309045,0.07547077872756591,0.07546804572565208,-1.5380653124046073,0.21994733234997899,0.19261731321162934
2027-02-20,0.4305555555555556,0.0753430491896382,0.07521271849040219,0.0753626170586784,0.07535839797042455,-1.3033069923601426,0.19567869040199026,0.15348780786350602
2027-02-27,0.45,0.0752385529054938,0.07513756831782283,0.07525445538979089,0.07524960770621691,-1.0098458767097973,0.15902484297086739,0.1105480072310927
2027-03-06,0.46944444444444444,0.07513528182808477,0.0750686436033272,0.07514629372090337,0.07514195531664626,-0.6663822475756753,0.11011892818602043,0.06673488561495522
2027-03-13,0.4888888888888889,0.07503322279238969,0.07500520153657529,0.07503813205201586,0.07503572118532979,-0.28021255814400514,0.049092596261651744,0.0249839294010068
2027-03-20,0.5083333333333333,0.07493236278042051,0.07494661296126878,0.07492997038312835,0.07493118569588461,0.1425018084827423,-0.023923972921613412,-0.011770845358971549
