reference_date,interpolation_method,jump_index,pillar_date,left_forward_rate,right_forward_rate,jump_bp,absolute_jump_bp
2026-09-18,LOG_LINEAR_DF,1,2026-10-21,0.07741270445085861,0.07623509881963374,-11.776056312248762,11.776056312248762
2026-09-18,LOG_LINEAR_DF,2,2026-11-20,0.07623509881963374,0.07524648211438323,-9.886167052505085,9.886167052505085
2026-09-18,LOG_LINEAR_DF,3,2026-12-22,0.07524648211438323,0.07347352878162304,-17.72953332760188,17.72953332760188
2026-09-18,LOG_LINEAR_DF,4,2027-03-22,0.07347352878162304,0.0712333518018201,-22.401769798029434,22.401769798029434
2026-09-18,LOG_LINEAR_DF,5,2027-06-22,0.0712333518018201,0.06950139512871943,-17.319566731006653,17.319566731006653
2026-09-18,LOG_LINEAR_DF,6,2027-09-22,0.06950139512871943,0.06707514728705201,-24.262478416674227,24.262478416674227
2026-09-18,LOG_LINEAR_DF,7,2028-09-20,0.06707514728705201,0.06578793427976175,-12.87213007290261,12.87213007290261
2026-09-18,LOG_LINEAR_DF,8,2029-09-20,0.06578793427976175,0.0663780779023666,5.901436226048578,5.901436226048578
2026-09-18,LOG_LINEAR_DF,9,2030-09-20,0.0663780779023666,0.06766298012333757,12.849022209709682,12.849022209709682
2026-09-18,LOG_LINEAR_DF,10,2031-09-22,0.06766298012333757,0.06972953100300397,20.665508796663957,20.665508796663957
2026-09-18,LOG_LINEAR_DF,11,2033-09-21,0.06972953100300397,0.07225829587406359,25.287648710596162,25.287648710596162
2026-09-18,LOG_LINEAR_DF,12,2036-09-22,0.07225829587406359,0.073741896778502,14.836009044384147,14.836009044384147
2026-09-18,LOG_LINEAR_DF,13,2041-09-20,0.073741896778502,0.07354272346289495,-1.9917331560705132,1.9917331560705132
2026-09-18,LOG_LINEAR_DF,14,2046-09-20,0.07354272346289495,0.07268126025609023,-8.61463206804719,8.61463206804719
